Season,Tm,avg(age)
1989-90,SAC,24.3333333333333
1989-90,SAS,24.3333333333333
1989-90,SEA,24.4285714285714
1989-90,TOT,25.0
1989-90,UTA,26.5
1989-90,WSB,22.0
1990-91,ATL,28.0
1990-91,BOS,25.0
1990-91,CHH,24.5714285714286
1990-91,CHI,24.5
1990-91,CLE,23.6666666666667
1990-91,DEN,23.4
1990-91,DET,27.5
1990-91,GSW,24.6666666666667
1990-91,HOU,26.0
1990-91,IND,25.2
1990-91,LAC,25.0
1990-91,LAL,24.4
1990-91,MIA,23.5
1990-91,MIL,30.0
1990-91,MIN,25.25
1990-91,NJN,23.2
1990-91,NYK,26.25
1990-91,ORL,22.5
1990-91,PHI,26.0
1990-91,PHO,25.1666666666667
1990-91,POR,26.0
1990-91,SAC,26.0
1990-91,SAS,25.0
1990-91,SEA,25.125
1990-91,TOT,25.75
1990-91,UTA,27.5
1990-91,WSB,23.2
1991-92,ATL,26.0
1991-92,BOS,24.7142857142857
1991-92,CHH,24.4444444444444
1991-92,CHI,25.5
1991-92,CLE,23.4
1991-92,DAL,24.0
1991-92,DEN,23.5
1991-92,DET,28.5
1991-92,GSW,24.3
1991-92,HOU,26.8
1991-92,IND,25.5
1991-92,LAC,25.1666666666667
1991-92,LAL,25.0
1991-92,MIA,24.2857142857143
1991-92,MIL,31.0
1991-92,MIN,25.6
1991-92,NJN,23.6666666666667
1991-92,NYK,26.3333333333333
1991-92,ORL,22.6666666666667
1991-92,PHI,26.6666666666667
1991-92,PHO,26.1666666666667
1991-92,POR,26.0
1991-92,SAC,23.75
1991-92,SAS,25.875
1991-92,SEA,25.0
1991-92,TOT,24.5555555555556
1991-92,UTA,25.6666666666667
1991-92,WSB,24.3333333333333
1992-93,ATL,25.0
1992-93,BOS,25.4
1992-93,CHH,25.5
1992-93,CHI,26.5
1992-93,CLE,24.5
1992-93,DAL,24.0
1992-93,DEN,23.5
1992-93,DET,28.0
1992-93,GSW,24.5
1992-93,HOU,26.8
1992-93,IND,26.0
1992-93,LAC,25.7142857142857
1992-93,LAL,25.625
1992-93,MIA,25.25
1992-93,MIL,23.4
1992-93,MIN,25.0
1992-93,NJN,24.5
1992-93,NYK,26.5
1992-93,ORL,23.8
1992-93,PHI,26.2
1992-93,PHO,26.5
1992-93,POR,26.8571428571429
1992-93,SAC,24.3333333333333
1992-93,SAS,27.1111111111111
1992-93,SEA,26.8571428571429
1992-93,TOT,26.0
1992-93,UTA,26.4285714285714
1992-93,WSB,24.0
1993-94,ATL,26.5
1993-94,BOS,25.3333333333333
1993-94,CHH,26.5
1993-94,CHI,26.8
1993-94,CLE,24.6
1993-94,DAL,24.0
1993-94,DEN,24.1428571428571
1993-94,DET,25.0
1993-94,GSW,25.0
1993-94,HOU,27.375
1993-94,IND,26.5
1993-94,LAC,26.1428571428571
1993-94,LAL,24.0
1993-94,MIA,26.0
1993-94,MIL,24.1428571428571
1993-94,MIN,25.2
1993-94,NJN,26.1111111111111
1993-94,NYK,27.5
1993-94,ORL,23.6666666666667
1993-94,PHI,24.8333333333333
1993-94,PHO,27.8888888888889
1993-94,POR,26.8888888888889
1993-94,SAC,25.8333333333333
1993-94,SAS,28.875
1993-94,SEA,27.8571428571429
1993-94,TOT,26.6666666666667
1993-94,UTA,26.8888888888889
1993-94,WSB,24.2
1994-95,ATL,27.75
1994-95,BOS,25.5714285714286
1994-95,CHH,27.4285714285714
1994-95,CHI,27.6153846153846
1994-95,CLE,26.8333333333333
1994-95,DAL,24.25
1994-95,DEN,25.7272727272727
1994-95,DET,25.1428571428571
1994-95,GSW,25.7777777777778
1994-95,HOU,27.2
1994-95,IND,27.6666666666667
1994-95,LAC,24.8571428571429
1994-95,LAL,24.5
1994-95,MIA,26.6666666666667
1994-95,MIL,25.25
1994-95,MIN,24.1111111111111
1994-95,NJN,27.0
1994-95,NYK,26.8888888888889
1994-95,ORL,25.75
1994-95,PHI,25.2
1994-95,PHO,27.7777777777778
1994-95,POR,27.8
1994-95,SAC,25.5714285714286
1994-95,SAS,27.9
1994-95,SEA,28.1666666666667
1994-95,TOT,26.0
1994-95,UTA,28.1111111111111
1994-95,WSB,23.6
1995-96,ATL,27.0
1995-96,BOS,25.6
1995-96,CHH,26.6
1995-96,CHI,28.7692307692308
1995-96,CLE,26.3333333333333
1995-96,DAL,25.0
1995-96,DEN,26.2727272727273
1995-96,DET,26.5555555555556
1995-96,GSW,27.0833333333333
1995-96,HOU,28.1
1995-96,IND,27.4444444444444
1995-96,LAC,24.5555555555556
1995-96,LAL,25.7
1995-96,MIA,27.1666666666667
1995-96,MIL,28.2222222222222
1995-96,MIN,26.1818181818182
1995-96,NJN,26.4444444444444
1995-96,NYK,28.0
1995-96,ORL,26.8571428571429
1995-96,PHI,25.875
1995-96,PHO,26.8333333333333
1995-96,POR,26.625
1995-96,SAC,26.2
1995-96,SAS,27.7777777777778
1995-96,SEA,28.875
1995-96,TOR,25.5
1995-96,TOT,26.9310344827586
1995-96,UTA,28.0
1995-96,VAN,26.1428571428571
1995-96,WSB,24.5
1996-97,ATL,28.0
1996-97,BOS,26.3
1996-97,CHH,27.0
1996-97,CHI,29.5833333333333
1996-97,CLE,26.3636363636364
1996-97,DAL,25.5333333333333
1996-97,DEN,26.8333333333333
1996-97,DET,26.5454545454545
1996-97,GSW,26.0
1996-97,HOU,28.1666666666667
1996-97,IND,27.0
1996-97,LAC,25.0
1996-97,LAL,26.4285714285714
1996-97,MIA,26.75
1996-97,MIL,27.7777777777778
1996-97,MIN,26.5
