Season,Team,var_salary
2009-10,"Indiana Pacers",12832538038042.9
2009-10,"Los Angeles Clippers",10086109647012.8
2009-10,"Los Angeles Lakers",39813056302325.2
2009-10,"Memphis Grizzlies",12607062808550.6
2009-10,"Miami Heat",40309129557090.4
2009-10,"Milwaukee Bucks",17836870669819.5
2009-10,"Minnesota Timberwolves",8880004972851.99
2009-10,"New Jersey Nets",6725477080700.68
2009-10,"New Orleans Hornets",22029621081739.3
2009-10,"New York Knicks",33896424688343.9
2009-10,"Oklahoma City Thunder",5779032299309.74
2009-10,"Orlando Magic",36140397368089.9
2009-10,"Philadelphia 76ers",21928857344578.4
2009-10,"Phoenix Suns",27068764769765.4
2009-10,"Portland Trail Blazers",8689102944730.57
2009-10,"Sacramento Kings",12348152544368.9
2009-10,"San Antonio Spurs",41043874767946.6
2009-10,"Toronto Raptors",15684963883634.6
2009-10,"Utah Jazz",29917383708732.7
2009-10,"Washington Wizards",22155328864720.8
2010-11,"Atlanta Hawks",23930975159824.2
2010-11,"Boston Celtics",27738110226478.4
2010-11,"Charlotte Bobcats",8251911684288.47
2010-11,"Chicago Bulls",16578808051457.6
2010-11,"Cleveland Cavaliers",16524591895099.8
2010-11,"Dallas Mavericks",26722625580247.9
2010-11,"Denver Nuggets",18999871965139.3
2010-11,"Detroit Pistons",15349100360208.8
2010-11,"Golden State Warriors",16905704568513.3
2010-11,"Houston Rockets",19834663817615.7
2010-11,"Indiana Pacers",12092688955667.5
2010-11,"Los Angeles Clippers",9527468375892.81
2010-11,"Los Angeles Lakers",50017885608801.8
2010-11,"Memphis Grizzlies",23215328159884.8
2010-11,"Miami Heat",26001726683879.6
2010-11,"Milwaukee Bucks",23470368167463.3
2010-11,"Minnesota Timberwolves",6766899737440.27
2010-11,"New Jersey Nets",13246940038538.8
2010-11,"New Orleans Hornets",16459928716839.7
2010-11,"New York Knicks",32713077744804.4
2010-11,"Oklahoma City Thunder",9728672896411.25
2010-11,"Orlando Magic",33768424092585.7
2010-11,"Philadelphia 76ers",18247794337403.2
2010-11,"Phoenix Suns",19672758728160.4
2010-11,"Portland Trail Blazers",21855137919986.2
2010-11,"Sacramento Kings",10576531527574.9
2010-11,"San Antonio Spurs",28320955726939.2
2010-11,"Toronto Raptors",14408379589072.5
2010-11,"Utah Jazz",26031544545731.2
2010-11,"Washington Wizards",18968688536253.8
2011-12,"Atlanta Hawks",27633358841366.9
2011-12,"Boston Celtics",36152213730806.6
2011-12,"Charlotte Bobcats",8579861474787.13
2011-12,"Chicago Bulls",19569941411184.6
2011-12,"Cleveland Cavaliers",18922929746370.7
2011-12,"Dallas Mavericks",29465809267014.2
2011-12,"Denver Nuggets",11250577623251.8
2011-12,"Detroit Pistons",13735837060168.6
2011-12,"Golden State Warriors",13370541100827.6
2011-12,"Houston Rockets",9704329846814.71
2011-12,"Indiana Pacers",11533268981712.4
2011-12,"Los Angeles Clippers",18964150268187.8
2011-12,"Los Angeles Lakers",52850103025393.5
2011-12,"Memphis Grizzlies",26151258456028.9
2011-12,"Miami Heat",32157329270574.1
2011-12,"Milwaukee Bucks",10524563753855.7
2011-12,"Minnesota Timberwolves",2265937636500.64
2011-12,"New Jersey Nets",16304325644063.2
2011-12,"New Orleans Hornets",17124187925447.1
2011-12,"New York Knicks",40781137895800.2
2011-12,"Oklahoma City Thunder",12339497396280.4
2011-12,"Orlando Magic",34327675387983.6
2011-12,"Philadelphia 76ers",23931982530848.0
2011-12,"Phoenix Suns",19512773101327.4
2011-12,"Portland Trail Blazers",22968993553105.2
2011-12,"Sacramento Kings",5409189105042.1
2011-12,"San Antonio Spurs",34136096986129.1
2011-12,"Toronto Raptors",8429089922350.06
2011-12,"Utah Jazz",13849796233859.3
2011-12,"Washington Wizards",24901674026628.9
