Team\Season,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
MIA,26.4285714285714,26.7058823529412,28.1764705882353,27.5882352941176,28.375,27.2272727272727,26.2777777777778,27.3333333333333,30.2941176470588,28.4375,29.7777777777778,30.0,27.5238095238095,28.5882352941176
MIL,27.625,26.5,28.0,27.1333333333333,25.0,26.5,27.8235294117647,27.7368421052632,27.2941176470588,25.7647058823529,26.7222222222222,25.5789473684211,24.85,24.2
MIN,28.0,28.7647058823529,28.8571428571429,26.2777777777778,26.7142857142857,26.125,26.5882352941176,25.0625,23.7647058823529,24.8666666666667,26.7368421052632,26.0,25.96,27.2
NJN,27.9333333333333,28.4210526315789,28.4545454545455,27.9411764705882,26.6666666666667,27.4,25.5333333333333,26.5294117647059,25.8181818181818,26.0909090909091,,,,
NOH,28.6875,29.6875,26.5454545454545,,,27.6875,29.1333333333333,27.8125,26.5789473684211,25.4545454545455,24.7368421052632,,,
NOK,,,,26.0526315789474,25.8666666666667,,,,,,,,,
NOP,,,,,,,,,,,,25.5714285714286,25.4761904761905,27.0
NYK,28.5384615384615,28.4545454545455,27.5263157894737,26.5789473684211,25.8,25.9333333333333,26.0869565217391,25.8,25.95,26.8823529411765,31.3157894736842,28.2222222222222,27.25,26.8
OKC,,,,,,,25.65,25.1666666666667,25.1666666666667,26.125,25.75,27.2222222222222,25.5238095238095,26.3571428571429
ORL,26.7647058823529,25.7619047619048,27.1111111111111,26.6666666666667,26.0,26.9375,27.875,27.8333333333333,28.4117647058824,26.625,25.2777777777778,24.875,24.9333333333333,24.6
PHI,28.4375,27.5714285714286,27.0588235294118,25.8235294117647,26.3888888888889,25.9333333333333,27.3846153846154,26.25,26.5333333333333,26.125,25.5294117647059,23.3913043478261,23.88,23.3125
PHO,26.2857142857143,25.7368421052632,25.3333333333333,26.9444444444444,29.1428571428571,29.125,27.1111111111111,26.8666666666667,27.6842105263158,28.5384615384615,26.25,25.8666666666667,25.695652173913,25.7222222222222
POR,28.7333333333333,26.2916666666667,25.7058823529412,25.0588235294118,24.7058823529412,23.8571428571429,24.2,25.7894736842105,27.4444444444444,26.7222222222222,25.0,25.4,26.3888888888889,24.2666666666667
SAC,27.5,28.7692307692308,27.3888888888889,26.625,27.2,27.0,26.8095238095238,25.35,24.75,24.4,25.4117647058824,25.9130434782609,26.1052631578947,26.5714285714286
SAS,29.5333333333333,28.0588235294118,28.4117647058824,29.4,29.4375,29.1428571428571,28.7,28.1176470588235,27.45,26.952380952381,27.5625,27.8947368421053,28.4705882352941,30.4666666666667
SDC,,,,,,,,,,,,,,
SEA,26.8823529411765,25.9285714285714,26.0,26.1052631578947,25.875,27.0,,,,,,,,
TOR,27.3684210526316,27.8260869565217,27.125,27.8235294117647,25.8235294117647,27.3529411764706,26.3157894736842,25.6666666666667,25.6818181818182,26.7777777777778,26.0,26.15,25.9333333333333,25.1333333333333
TOT,27.4444444444444,28.0294117647059,28.6271186440678,27.6078431372549,27.7241379310345,27.8382352941176,27.5671641791045,27.3030303030303,26.855421686747,26.6111111111111,26.12,26.4126984126984,26.3289473684211,27.625
UTA,29.5384615384615,25.9444444444444,25.7647058823529,25.1333333333333,25.0,25.2666666666667,25.6666666666667,24.6666666666667,26.2941176470588,26.1333333333333,26.0,25.8235294117647,24.0,24.5
VAN,,,,,,,,,,,,,,
WAS,27.25,26.1176470588235,25.5,26.5333333333333,26.25,26.2307692307692,26.8235294117647,27.2083333333333,25.9130434782609,26.047619047619,26.2105263157895,26.6470588235294,28.6111111111111,27.8
WSB,,,,,,,,,,,,,,
