Season,Team,av_salary
2010-11,"Chicago Bulls",4195236.61538462
2010-11,"Cleveland Cavaliers",3175883.58823529
2010-11,"Dallas Mavericks",5338118.125
2010-11,"Denver Nuggets",4858520.71428571
2010-11,"Detroit Pistons",4646015.5
2010-11,"Golden State Warriors",4561022.4
2010-11,"Houston Rockets",4821043.6
2010-11,"Indiana Pacers",4068039.375
2010-11,"Los Angeles Clippers",3326583.0625
2010-11,"Los Angeles Lakers",6530581.42857143
2010-11,"Memphis Grizzlies",4131843.76470588
2010-11,"Miami Heat",4078665.4375
2010-11,"Milwaukee Bucks",4063334.70588235
2010-11,"Minnesota Timberwolves",3341320.1875
2010-11,"New Jersey Nets",3899732.6
2010-11,"New Orleans Hornets",4013572.29411765
2010-11,"New York Knicks",4467770.8
2010-11,"Oklahoma City Thunder",3994463.42857143
2010-11,"Orlando Magic",6483628.85714286
2010-11,"Philadelphia 76ers",4922517.57142857
2010-11,"Phoenix Suns",4394703.33333333
2010-11,"Portland Trail Blazers",4972270.53333333
2010-11,"Sacramento Kings",2829279.0625
2010-11,"San Antonio Spurs",3659069.0
2010-11,"Toronto Raptors",3683823.57894737
2010-11,"Utah Jazz",5418235.42857143
2010-11,"Washington Wizards",3240277.11111111
2011-12,"Atlanta Hawks",4604369.5
2011-12,"Boston Celtics",5321368.66666667
2011-12,"Charlotte Bobcats",3860134.93333333
2011-12,"Chicago Bulls",4967746.21428571
2011-12,"Cleveland Cavaliers",3604199.94444444
2011-12,"Dallas Mavericks",5727954.53846154
2011-12,"Denver Nuggets",3903544.86666667
2011-12,"Detroit Pistons",4728240.33333333
2011-12,"Golden State Warriors",3622170.64705882
2011-12,"Houston Rockets",3563859.6875
2011-12,"Indiana Pacers",3682434.5
2011-12,"Los Angeles Clippers",3960787.58823529
2011-12,"Los Angeles Lakers",5516529.875
2011-12,"Memphis Grizzlies",4414250.4375
2011-12,"Miami Heat",4941163.86666667
2011-12,"Milwaukee Bucks",4012825.86666667
2011-12,"Minnesota Timberwolves",3789622.6
2011-12,"New Jersey Nets",3264061.75
2011-12,"New Orleans Hornets",3635611.55555556
2011-12,"New York Knicks",4763005.75
2011-12,"Oklahoma City Thunder",3718856.8125
2011-12,"Orlando Magic",5435176.5625
2011-12,"Philadelphia 76ers",4762312.0
2011-12,"Phoenix Suns",5040036.0
2011-12,"Portland Trail Blazers",4973033.5
2011-12,"Sacramento Kings",3496445.42857143
2011-12,"San Antonio Spurs",4337221.29411765
2011-12,"Toronto Raptors",3670869.93333333
2011-12,"Utah Jazz",4380673.92307692
2011-12,"Washington Wizards",3692423.0
