season,team,av_exp
2003-04,UTA,3.11111111111111
2003-04,WAS,3.88235294117647
2004-05,ATL,6.05
2004-05,BOS,3.85714285714286
2004-05,CHA,3.36842105263158
2004-05,CHI,3.46666666666667
2004-05,CLE,4.625
2004-05,DAL,5.1875
2004-05,DEN,5.0
2004-05,DET,6.05882352941176
2004-05,GSW,4.66666666666667
2004-05,HOU,6.81818181818182
2004-05,IND,4.63157894736842
2004-05,LAC,3.88888888888889
2004-05,LAL,4.375
2004-05,MEM,3.53333333333333
2004-05,MIA,5.875
2004-05,MIL,5.27777777777778
2004-05,MIN,6.64285714285714
2004-05,NJN,5.52380952380952
2004-05,NOH,3.90909090909091
2004-05,NYK,6.36842105263158
2004-05,ORL,4.83333333333333
2004-05,PHI,5.0
2004-05,PHO,3.83333333333333
2004-05,POR,3.70588235294118
2004-05,SAC,5.27777777777778
2004-05,SAS,5.94117647058824
2004-05,SEA,3.6
2004-05,TOR,4.9375
2004-05,TOT,6.27586206896552
2004-05,UTA,3.05882352941176
2004-05,WAS,3.9375
2005-06,ATL,2.8
2005-06,BOS,3.0
2005-06,CHA,2.625
2005-06,CHI,3.10526315789474
2005-06,CLE,4.58823529411765
2005-06,DAL,5.0625
2005-06,DEN,5.66666666666667
2005-06,DET,5.88235294117647
2005-06,GSW,3.4
2005-06,HOU,5.0
2005-06,IND,5.3125
2005-06,LAC,4.88888888888889
2005-06,LAL,4.29411764705882
2005-06,MEM,4.875
2005-06,MIA,4.4
2005-06,MIL,4.8
2005-06,MIN,4.16666666666667
2005-06,NJN,5.70588235294118
2005-06,NOK,3.73684210526316
2005-06,NYK,5.10526315789474
2005-06,ORL,5.27777777777778
2005-06,PHI,3.64705882352941
2005-06,PHO,4.72222222222222
2005-06,POR,3.88235294117647
2005-06,SAC,5.25
2005-06,SAS,6.06666666666667
2005-06,SEA,4.10526315789474
2005-06,TOR,4.88235294117647
2005-06,TOT,5.31372549019608
2005-06,UTA,3.06666666666667
2005-06,WAS,3.66666666666667
2006-07,ATL,3.05263157894737
2006-07,BOS,3.25
2006-07,CHA,4.38888888888889
2006-07,CHI,3.78571428571429
2006-07,CLE,5.93333333333333
2006-07,DAL,6.375
2006-07,DEN,5.23529411764706
2006-07,DET,6.8
2006-07,GSW,3.2
2006-07,HOU,4.5
2006-07,IND,3.94736842105263
2006-07,LAC,5.21052631578947
2006-07,LAL,4.71428571428571
2006-07,MEM,4.16666666666667
2006-07,MIA,5.14285714285714
2006-07,MIL,2.94117647058824
2006-07,MIN,4.5
2006-07,NJN,4.3125
2006-07,NOK,3.6
2006-07,NYK,4.53333333333333
2006-07,ORL,4.8
2006-07,PHI,4.5
2006-07,PHO,6.64285714285714
2006-07,POR,2.76470588235294
2006-07,SAC,5.6
2006-07,SAS,6.125
2006-07,SEA,3.625
2006-07,TOR,3.35294117647059
2006-07,TOT,5.13793103448276
2006-07,UTA,3.75
2006-07,WAS,4.25
2007-08,ATL,3.875
2007-08,BOS,6.66666666666667
2007-08,CHA,5.26666666666667
2007-08,CHI,3.57894736842105
2007-08,CLE,5.52173913043478
2007-08,DAL,6.7
2007-08,DEN,5.3125
2007-08,DET,5.84210526315789
2007-08,GSW,4.22222222222222
2007-08,HOU,4.0
2007-08,IND,4.0
2007-08,LAC,5.23809523809524
2007-08,LAL,4.73684210526316
2007-08,MEM,3.57894736842105
2007-08,MIA,4.28571428571429
2007-08,MIL,4.28571428571429
2007-08,MIN,4.3125
2007-08,NJN,5.0
2007-08,NOH,5.25
2007-08,NYK,4.93333333333333
2007-08,ORL,5.4375
2007-08,PHI,3.93333333333333
2007-08,PHO,6.9375
2007-08,POR,2.78571428571429
2007-08,SAC,5.10526315789474
2007-08,SAS,5.81818181818182
2007-08,SEA,4.71428571428571
2007-08,TOR,4.47058823529412
2007-08,TOT,5.55072463768116
2007-08,UTA,3.66666666666667
2007-08,WAS,4.53846153846154
2008-09,ATL,3.8
2008-09,BOS,5.5625
2008-09,CHA,4.04166666666667
2008-09,CHI,4.84210526315789
2008-09,CLE,5.25
2008-09,DAL,6.375
2008-09,DEN,6.3125
2008-09,DET,5.8
2008-09,GSW,3.0
2008-09,HOU,4.75
2008-09,IND,4.35714285714286
2008-09,LAC,5.21052631578947
2008-09,LAL,5.25
2008-09,MEM,3.46666666666667
